OBJECTID_1,FID_TL_201,ALAND10,AWATER10,CNTY2010,CT10,CT2010,GEODESC,ACRES,SQ_MILES,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,CNTY20101,CT101,AREA,ACRES_1,SQMILES,PSQM,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
722,726,1212989,16046,24005,492300,24005492300,4923.00,299.72359,0.46832,3955,1447,3091,497,13,84,1,10,92,167,78.2,12.6,0.3,2.1,0,0.3,2.3,4.2,424,10.7,35.1,80,5.5,78.3,21.5,21.7,42.1,24005,492300,0,299.72359,0.46832,8445.13,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24005492300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24005492300.pdf,9436.48924656973,2029859.90367271
723,727,5303032,0,24033,802804,24033802804,8028.04,1310.27211,2.0473,5466,2109,51,5191,9,14,0,4,72,125,0.9,95,0.2,0.3,0,0.1,1.3,2.3,722,13.2,34.7,103,4.9,65.8,13.3,34.2,69.1,24033,802804,0,1310.27211,2.0473,2669.86,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033802804.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033802804.pdf,14150.6886437458,8763576.17363167
724,728,1877740,0,24033,802901,24033802901,8029.01,463.95143,0.72492,3962,1538,51,3533,7,11,0,0,61,299,1.3,89.2,0.2,0.3,0,0,1.5,7.5,519,13.1,35.7,141,9.2,61,19.3,39,65.1,24033,802901,0,463.95143,0.72492,5465.41,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033802901.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033802901.pdf,8763.85064939866,3104203.23881425
725,729,1230353,0,24033,803001,24033803001,8030.01,303.99511,0.47499,2945,1137,27,2628,6,38,0,0,50,196,0.9,89.2,0.2,1.3,0,0,1.7,6.7,323,11,37,114,10,69,15.5,31,56.7,24033,803001,0,303.99511,0.47499,6200.11,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033803001.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033803001.pdf,7472.24125738909,2034470.64112119
726,730,900195,0,24033,803002,24033803002,8030.02,222.41959,0.34753,2723,1140,12,2540,10,21,0,12,42,86,0.4,93.3,0.4,0.8,0,0.4,1.5,3.2,432,15.9,39.3,91,8,71.3,19.1,28.7,62.1,24033,803002,0,222.41959,0.34753,7835.29,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033803002.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033803002.pdf,6033.63683470124,1488559.82935223
727,731,2234259,1723,24033,803100,24033803100,8031.00,552.46645,0.86323,2627,1101,31,2259,6,5,0,11,32,283,1.2,86,0.2,0.2,0,0.4,1.2,10.8,299,11.4,36.7,121,11,55.1,23.9,44.9,56.3,24033,803100,0,552.46645,0.86323,3043.23,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033803100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033803100.pdf,8390.98541354319,3698135.69624396
728,732,1941146,0,24033,802805,24033802805,8028.05,479.61761,0.7494,4895,1805,50,4482,26,13,0,3,64,257,1,91.6,0.5,0.3,0,0.1,1.3,5.3,680,13.9,36,151,8.4,76.6,16.5,23.4,61.2,24033,802805,0,479.61761,0.7494,6531.88,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033802805.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033802805.pdf,7446.80585956467,3209042.34356772
729,733,4401526,48135,24033,803514,24033803514,8035.14,1099.42072,1.71784,4381,2235,110,4009,18,37,2,6,87,112,2.5,91.5,0.4,0.8,0,0.1,2,2.6,313,7.1,35.8,110,4.9,52.9,2.3,47.1,55.3,24033,803514,0,1099.42072,1.71784,2550.29,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033803514.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033803514.pdf,12127.8805290901,7358354.11926262
730,734,285319,0,24033,805602,24033805602,8056.02,70.49663,0.11015,4918,1320,73,440,11,69,5,14,23,4283,1.5,8.9,0.2,1.4,0.1,0.3,0.5,87.1,87,1.8,28.8,77,5.8,7.9,14.3,92.1,48.6,24033,805602,0,70.49663,0.11015,44647.88,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033805602.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033805602.pdf,3458.80489114052,472940.201434995
731,735,523118,0,24033,805601,24033805601,8056.01,129.25201,0.20196,6201,1678,78,463,12,69,0,9,35,5535,1.3,7.5,0.2,1.1,0,0.1,0.6,89.3,118,1.9,28.7,60,3.6,2.5,25,97.5,51.1,24033,805601,0,129.25201,0.20196,30704.72,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24033805601.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24033805601.pdf,5904.38192772407,867138.461556589
