OBJECTID_1,FID_TL_201,ALAND10,AWATER10,CNTY2010,CT10,CT2010,GEODESC,ACRES,SQ_MILES,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,CNTY20101,CT101,AREA,ACRES_1,SQMILES,PSQM,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
1,0,170616683,5541577,24029,950100,24029950100,9501.00,42392.60956,66.23845,3838,1796,3143,299,5,37,0,2,47,305,81.9,7.8,0.1,1,0,0.1,1.2,7.9,620,16.2,42.8,154,8.6,77.7,30.9,22.3,27.8,24029,950100,0,42392.60956,66.23845,57.94,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950100.pdf,138814.599164276,286960067.304156
2,1,279186393,29289092,24029,950200,24029950200,9502.00,69542.40176,108.66,4844,2640,3767,737,4,14,0,4,58,260,77.8,15.2,0.1,0.3,0,0.1,1.2,5.4,946,19.5,46.2,223,8.4,79,34,21,30.8,24029,950200,0,69542.40176,108.66,44.58,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950200.pdf,268980.601510484,470670948.572363
3,2,21445745,1762900,24029,950300,24029950300,9503.00,5332.7237,8.33238,5775,2574,4226,1085,5,95,1,9,107,247,73.2,18.8,0.1,1.6,0,0.2,1.9,4.3,1341,23.2,36.9,307,11.9,51.7,34.6,48.3,47,24029,950300,0,5332.7237,8.33238,693.08,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950300.pdf,47165.0312576083,36015891.304903
4,3,72736967,56708716,24029,950500,24029950500,9505.00,18197.97926,28.43434,2623,1770,2307,236,2,4,0,0,35,39,88,9,0.1,0.2,0,0,1.3,1.5,715,27.3,52.3,151,8.5,77.1,40.5,22.9,37,24029,950500,0,18197.97926,28.43434,92.25,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950500.pdf,225444.550100944,122541011.263301
5,4,173519483,33126235,24029,950400,24029950400,9504.00,43502.34671,67.97242,3117,1769,2340,646,7,7,2,3,56,56,75.1,20.7,0.2,0.2,0.1,0.1,1.8,1.8,775,24.9,50.9,154,8.7,78.3,39.7,21.7,38.1,24029,950400,0,43502.34671,67.97242,45.86,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950400.pdf,246617.820478437,293543840.701165
6,6,98191806,15974390,24017,850500,24017850500,8505.00,24337.52617,38.02738,2793,1113,2273,389,26,7,0,1,58,39,81.4,13.9,0.9,0.3,0,0,2.1,1.4,388,13.9,43.9,89,8,88.3,23.3,11.7,26.9,24017,850500,0,24337.52617,38.02738,73.45,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850500.pdf,119863.073311883,160972682.168348
7,7,60285332,17307,24017,850600,24017850600,8506.00,14900.03419,23.2813,4743,1704,2667,1656,29,165,3,2,104,117,56.2,34.9,0.6,3.5,0.1,0,2.2,2.5,518,10.9,39.7,103,6,92.9,17,7.1,18.4,24017,850600,0,14900.03419,23.2813,203.73,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850600.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850600.pdf,62526.8903444165,98742741.7052797
8,8,42640094,225588,24017,851002,24017851002,8510.02,10591.60815,16.54939,9244,3537,6265,2163,30,237,10,8,240,291,67.8,23.4,0.3,2.6,0.1,0.1,2.6,3.1,1211,13.1,39.6,181,5.1,75,17.5,25,31.9,24017,851002,0,10591.60815,16.54939,558.57,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851002.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851002.pdf,39790.3285853647,70165908.8722391
9,9,71655695,7178667,24017,851100,24017851100,8511.00,17713.57233,27.67746,2741,1070,2154,398,24,31,0,3,64,67,78.6,14.5,0.9,1.1,0,0.1,2.3,2.4,355,13,44,61,5.7,83.5,24.2,16.5,24.6,24017,851100,0,17713.57233,27.67746,99.03,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851100.pdf,63135.7488179511,117100081.125096
10,10,34111856,3466222,24017,850300,24017850300,8503.00,8444.6249,13.19473,1986,817,1150,705,19,14,0,2,58,38,57.9,35.5,1,0.7,0,0.1,2.9,1.9,295,14.9,44.1,70,8.6,82.8,26.7,17.2,29.2,24017,850300,0,8444.6249,13.19473,150.51,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850300.pdf,55350.0911152692,55963759.052421
11,11,176976110,26002941,24017,850400,24017850400,8504.00,43793.66749,68.42761,3895,1602,2473,1200,50,17,1,7,85,62,63.5,30.8,1.3,0.4,0,0.2,2.2,1.6,490,12.6,42.1,167,10.4,81.4,29.3,18.6,31.3,24017,850400,0,43793.66749,68.42761,56.92,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850400.pdf,140836.830138178,289406623.274539
12,12,88677690,427648,24011,955600,24011955600,9556.00,21978.8881,34.34201,4836,2090,3135,1394,10,48,0,10,93,146,64.8,28.8,0.2,1,0,0.2,1.9,3,672,13.9,37.7,179,8.6,58.1,34.4,41.9,54.5,24011,955600,0,21978.8881,34.34201,140.82,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955600.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955600.pdf,81059.1323751713,146313337.041357
13,13,92960631,244186,24011,955000,24011955000,9550.00,22991.87616,35.92481,3348,1205,2224,131,10,10,6,3,41,923,66.4,3.9,0.3,0.3,0.2,0.1,1.2,27.6,330,9.9,32.9,122,10.1,71.9,36.7,28.1,33.8,24011,955000,0,22991.87616,35.92481,93.19,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955000.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955000.pdf,58170.9081634199,154627545.513382
14,14,131474276,586385,24011,955100,24011955100,9551.00,32521.77234,50.81527,5619,2267,4807,411,15,27,0,1,89,269,85.5,7.3,0.3,0.5,0,0,1.6,4.8,643,11.4,37.4,175,7.7,74,24.9,26,30.1,24011,955100,0,32521.77234,50.81527,110.58,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955100.pdf,88360.7135381811,218156339.853332
15,15,114526391,7073550,24011,955500,24011955500,9555.00,28339.0674,44.27979,4044,1770,3314,572,8,22,0,3,66,59,81.9,14.1,0.2,0.5,0,0.1,1.6,1.5,625,15.5,42.4,171,9.7,82.1,30.3,17.9,30,24011,955500,0,28339.0674,44.27979,91.33,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955500.pdf,78505.2112770534,188771355.248073
16,16,116513573,1915518,24011,955400,24011955400,9554.00,28818.25222,45.02852,2097,896,1862,175,7,5,0,0,25,23,88.8,8.3,0.3,0.2,0,0,1.2,1.1,290,13.8,43.9,82,9.2,82.8,31,17.3,24.1,24011,955400,0,28818.25222,45.02852,46.57,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955400.pdf,84382.1815990628,192217697.708619
17,17,109636038,3000077,24011,955301,24011955301,9553.01,27159.74951,42.43711,4111,1622,3520,378,13,28,0,3,67,102,85.6,9.2,0.3,0.7,0,0.1,1.6,2.5,639,15.5,39.5,132,8.1,79.7,27.1,20.3,25.3,24011,955301,0,27159.74951,42.43711,96.87,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955301.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955301.pdf,81120.4695829849,181568645.340399
18,18,95544196,2469838,24011,955202,24011955202,9552.02,23638.95594,36.93587,2110,866,1894,117,6,18,0,4,28,43,89.8,5.5,0.3,0.9,0,0.2,1.3,2,320,15.2,44.9,47,5.4,84.2,29.3,15.8,22.1,24011,955202,0,23638.95594,36.93587,57.13,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955202.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955202.pdf,83255.4111636842,158137829.660911
19,19,6865329,632709,24011,955302,24011955302,9553.02,1697.02393,2.6516,3128,1326,2214,727,14,18,2,4,71,78,70.8,23.2,0.4,0.6,0.1,0.1,2.3,2.5,496,15.9,38,123,9.3,53.1,26.7,46.9,49.7,24011,955302,0,1697.02393,2.6516,1179.67,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955302.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955302.pdf,21462.3200328174,11348521.6530575
20,20,71094292,439759,24011,955201,24011955201,9552.01,17571.71655,27.45581,3773,1440,2883,615,12,10,1,4,75,173,76.4,16.3,0.3,0.3,0,0.1,2,4.6,398,10.5,34.9,116,8.1,73.7,19.2,26.3,33.1,24011,955201,0,17571.71655,27.45581,137.42,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24011955201.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24011955201.pdf,58298.030505714,117793227.761358
21,21,107372115,37150960,24017,851200,24017851200,8512.00,26578.5425,41.52897,4886,2358,3920,688,34,30,0,5,114,95,80.2,14.1,0.7,0.6,0,0.1,2.3,1.9,794,16.3,43.5,201,8.5,81.7,23.9,18.3,26.6,24017,851200,0,26578.5425,41.52897,117.65,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851200.pdf,164082.012820068,175136758.249682
22,22,41076393,743114,24017,850904,24017850904,8509.04,10327.92048,16.13738,5367,2156,1758,2845,20,273,10,13,173,275,32.8,53,0.4,5.1,0.2,0.2,3.2,5.1,301,5.6,32.8,301,14,78.7,8.7,21.3,24.1,24017,850904,0,10327.92048,16.13738,332.58,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850904.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850904.pdf,45176.1464585637,68464222.7061401
23,23,5391652,97992,24017,850901,24017850901,8509.01,1341.37372,2.0959,5830,2392,1829,3213,25,136,2,11,237,377,31.4,55.1,0.4,2.3,0,0.2,4.1,6.5,532,9.1,30.9,125,5.2,49.7,8.8,50.3,61.2,24017,850901,0,1341.37372,2.0959,2781.63,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850901.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850901.pdf,15983.1711252045,8904946.55546777
24,24,5880231,0,24017,850902,24017850902,8509.02,1452.92018,2.27019,5678,1884,2569,2270,38,153,8,10,251,379,45.2,40,0.7,2.7,0.1,0.2,4.4,6.7,704,12.4,37.3,89,4.7,87.5,14.2,12.5,32.3,24017,850902,0,1452.92018,2.27019,2501.12,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850902.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850902.pdf,12936.2725913463,9640683.13461692
25,25,17069754,22848,24017,851001,24017851001,8510.01,4223.3848,6.59904,3279,1126,2323,717,18,65,1,1,52,102,70.8,21.9,0.5,2,0,0,1.6,3.1,653,19.9,43.9,35,3.1,83.7,21.6,16.3,21.8,24017,851001,0,4223.3848,6.59904,496.89,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851001.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851001.pdf,25253.4509743412,27975554.6543713
26,26,2213093,12355,24017,850906,24017850906,8509.06,546.82183,0.85441,4873,2163,1454,2817,21,84,1,14,212,270,29.8,57.8,0.4,1.7,0,0.3,4.4,5.5,440,9,32.1,173,8,46.6,9.9,53.4,54.7,24017,850906,0,546.82183,0.85441,5703.37,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850906.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850906.pdf,9486.25909741388,3628613.03223859
27,27,4230442,9931,24017,850801,24017850801,8508.01,1047.72587,1.63707,4714,1702,2777,1435,29,90,3,11,160,209,58.9,30.4,0.6,1.9,0.1,0.2,3.4,4.4,604,12.8,42.5,52,3.1,91.3,14.8,8.7,22.8,24017,850801,0,1047.72587,1.63707,2879.54,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850801.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850801.pdf,11130.8465355083,6962487.23832215
28,28,38967498,231698,24017,850802,24017850802,8508.02,9685.51636,15.13362,4118,1551,1842,1688,50,105,3,11,143,276,44.7,41,1.2,2.5,0.1,0.3,3.5,6.7,376,9.1,38,81,5.2,81,16.7,19,35.2,24017,850802,0,9685.51636,15.13362,272.11,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850802.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850802.pdf,44644.7068779809,64308982.6959588
29,29,16066282,10870380,24017,850201,24017850201,8502.01,3979.36628,6.21776,787,260,353,303,7,21,3,0,24,76,44.9,38.5,0.9,2.7,0.4,0,3,9.7,24,3,24.5,45,17.3,46.5,11.1,53.5,29,24017,850201,0,3979.36628,6.21776,126.57,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850201.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850201.pdf,51885.6582400531,26383118.2765887
30,30,5760073,1762244,24017,850202,24017850202,8502.02,1423.23091,2.2238,4749,1997,2346,1993,42,96,2,2,146,122,49.4,42,0.9,2,0,0,3.1,2.6,487,10.3,34.4,184,9.2,72.8,21.7,27.2,46.1,24017,850202,0,1423.23091,2.2238,2135.54,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850202.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850202.pdf,30014.2758388438,9444746.10561302
31,31,110641992,4556945,24017,851400,24017851400,8514.00,27356.89852,42.74515,8176,2871,5452,2167,55,110,2,23,214,153,66.7,26.5,0.7,1.3,0,0.3,2.6,1.9,903,11,42.2,107,3.7,90.6,15.8,9.4,19.2,24017,851400,0,27356.89852,42.74515,191.27,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851400.pdf,76770.9598422434,181373366.508583
32,32,2230230,25131,24017,850905,24017850905,8509.05,551.33774,0.86147,4425,1622,1734,2127,23,108,1,14,155,263,39.2,48.1,0.5,2.4,0,0.3,3.5,5.9,202,4.6,33.4,93,5.7,80.8,4.6,19.2,38.7,24017,850905,0,551.33774,0.86147,5136.61,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850905.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850905.pdf,9988.18676480461,3659123.24644135
33,33,44586595,1435500,24017,850102,24017850102,8501.02,11034.73087,17.24177,2583,991,1290,1031,42,68,0,4,74,74,49.9,39.9,1.6,2.6,0,0.2,2.9,2.9,401,15.5,41.4,59,6,84.3,34.8,15.7,40.2,24017,850102,0,11034.73087,17.24177,149.81,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850102.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850102.pdf,46397.5735107233,73217610.0597462
34,34,25169856,3717651,24017,850101,24017850101,8501.01,6230.46107,9.7351,5440,2044,1608,3218,29,153,2,1,203,226,29.6,59.2,0.5,2.8,0,0,3.7,4.2,488,9,36.5,148,7.2,85,13.9,15,35.5,24017,850101,0,6230.46107,9.7351,558.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850101.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850101.pdf,34172.3348055114,41411883.2474255
35,35,25952196,13276,24017,850713,24017850713,8507.13,6415.66384,10.02447,6635,2213,2964,2786,21,318,6,13,221,306,44.7,42,0.3,4.8,0.1,0.2,3.3,4.6,525,7.9,37.6,70,3.2,92.7,10.4,7.3,21.1,24017,850713,0,6415.66384,10.02447,661.88,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850713.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850713.pdf,29128.1423940771,42603159.0100901
36,36,28432512,0,24017,850712,24017850712,8507.12,7025.26055,10.97697,5739,1974,2407,2611,66,178,4,20,233,220,41.9,45.5,1.2,3.1,0.1,0.3,4.1,3.8,391,6.8,38.4,63,3.2,91.6,9.1,8.4,20.4,24017,850712,0,7025.26055,10.97697,522.82,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850712.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850712.pdf,40609.1491996875,46619338.9066381
37,37,6022850,55120,24017,850708,24017850708,8507.08,1501.76636,2.34651,5282,1758,1734,2713,25,328,2,9,210,261,32.8,51.4,0.5,6.2,0,0.2,4,4.9,315,6,36.6,77,4.4,89.6,7,10.4,23.2,24017,850708,0,1501.76636,2.34651,2251.01,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850708.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850708.pdf,18533.2670194733,9979617.41949159
38,38,5321994,1042,24017,850709,24017850709,8507.09,1315.23523,2.05506,6676,2528,1345,4261,31,292,3,11,267,466,20.1,63.8,0.5,4.4,0,0.2,4,7,225,3.4,32,121,4.8,59.7,4.6,40.3,43.2,24017,850709,0,1315.23523,2.05506,3248.58,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850709.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850709.pdf,16090.027248217,8739076.33233996
39,39,6987437,0,24017,850706,24017850706,8507.06,1726.48298,2.69763,4811,1602,1480,2619,17,297,10,5,163,220,30.8,54.4,0.4,6.2,0.2,0.1,3.4,4.6,285,5.9,37.9,53,3.3,88.3,6.3,11.7,25.2,24017,850706,0,1726.48298,2.69763,1783.42,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850706.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850706.pdf,23413.5378129413,11470553.3030571
40,40,2977111,34092,24017,850711,24017850711,8507.11,735.59623,1.14937,4900,1889,1251,2857,14,236,3,17,197,325,25.5,58.3,0.3,4.8,0.1,0.3,4,6.6,304,6.2,32.3,126,6.7,67.1,3,32.9,44.1,24017,850711,0,735.59623,1.14937,4263.22,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850711.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850711.pdf,12633.4379752458,4885248.70906468
41,41,3629265,48460,24017,850710,24017850710,8507.10,896.73334,1.40115,4979,1697,1816,2463,15,247,1,8,183,246,36.5,49.5,0.3,5,0,0.2,3.7,4.9,181,3.6,34.1,66,3.9,83.3,3.1,16.7,29.5,24017,850710,0,896.73334,1.40115,3553.53,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850710.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850710.pdf,11136.94751907,5955423.8341421
42,42,111293646,3947878,24017,851301,24017851301,8513.01,27539.82119,43.03097,4711,1557,4068,415,15,47,0,2,75,89,86.4,8.8,0.3,1,0,0,1.6,1.9,458,9.7,40.6,51,3.3,91.3,18.7,8.7,12.3,24017,851301,0,27539.82119,43.03097,109.48,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851301.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851301.pdf,94237.1815206146,181981229.072608
43,43,71453552,570811,24017,851302,24017851302,8513.02,17743.08877,27.72358,4046,1384,3002,793,18,67,3,2,69,92,74.2,19.6,0.4,1.7,0.1,0,1.7,2.3,570,14.1,43.3,55,4,93.1,21.3,6.9,17.6,24017,851302,0,17743.08877,27.72358,145.94,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851302.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851302.pdf,50463.9425889065,117478413.204134
44,45,12976271,126596,24017,851500,24017851500,8515.00,3222.78596,5.0356,8465,3401,2601,4660,44,323,3,13,298,523,30.7,55.1,0.5,3.8,0,0.2,3.5,6.2,432,5.1,33,264,7.8,61.3,3.8,38.7,35.8,24017,851500,0,3222.78596,5.0356,1681.03,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851500.pdf,21597.8276525499,21389647.2811842
45,46,1484541,0,24510,151000,24510151000,1510.00,366.82265,0.57316,5214,2339,92,5000,18,14,0,6,43,41,1.8,95.9,0.3,0.3,0,0.1,0.8,0.8,766,14.7,39.6,515,22,49,27.6,51,71.8,24510,151000,0,366.82265,0.57316,9096.94,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510151000.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510151000.pdf,7471.07241051582,2484740.06477821
46,47,298758,0,24510,080700,24510080700,0807.00,73.82111,0.11535,1137,726,17,1081,0,5,0,0,12,22,1.5,95.1,0,0.4,0,0,1.1,1.9,130,11.4,36.8,342,47.1,46.1,54,53.9,80.3,24510,080700,0,73.82111,0.11535,9857.36,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510080700.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510080700.pdf,3100.72588370406,499671.355305955
47,48,349188,0,24510,080500,24510080500,0805.00,86.28217,0.13482,1704,735,12,1654,5,6,0,0,16,11,0.7,97.1,0.3,0.4,0,0,0.9,0.6,211,12.4,36.7,191,26,51.9,46.8,48.1,75.7,24510,080500,0,86.28217,0.13482,12639.48,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510080500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510080500.pdf,3454.23842392512,584132.917227356
48,49,949591,9673,24510,150500,24510150500,1505.00,237.02941,0.37036,1543,757,14,1482,3,2,0,10,26,6,0.9,96,0.2,0.1,0,0.6,1.7,0.4,303,19.6,43.5,77,10.2,41.4,37.7,58.6,75.8,24510,150500,0,237.02941,0.37036,4166.24,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510150500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510150500.pdf,5446.55314241668,1604995.07622888
49,50,1038497,0,24510,120100,24510120100,1201.00,256.60788,0.40095,4790,3000,3311,351,3,856,3,14,85,167,69.1,7.3,0.1,17.9,0.1,0.3,1.8,3.5,899,18.8,37.2,225,7.5,46.2,37.1,53.8,14.4,24510,120100,0,256.60788,0.40095,11946.65,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510120100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510120100.pdf,6366.29710359855,1738336.02509836
50,51,687333,0,24510,090900,24510090900,0909.00,169.83661,0.26537,2452,1433,31,2348,2,7,1,4,32,27,1.3,95.8,0.1,0.3,0,0.2,1.3,1.1,302,12.3,36,455,31.8,30.8,31.6,69.2,86.1,24510,090900,0,169.83661,0.26537,9239.95,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510090900.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510090900.pdf,4290.94732034585,1149614.06933884
51,52,3228556,7610,24510,280301,24510280301,2803.01,799.63678,1.24943,4101,2035,335,3601,11,19,0,15,43,77,8.2,87.8,0.3,0.5,0,0.4,1,1.9,355,8.7,30.9,157,7.7,13,28.3,87,76.1,24510,280301,0,799.63678,1.24943,3282.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510280301.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510280301.pdf,12276.2734951699,5412981.49657792
52,53,693189,0,24510,130803,24510130803,1308.03,171.28417,0.26763,2748,1406,2019,335,5,215,0,10,51,113,73.5,12.2,0.2,7.8,0,0.4,1.9,4.1,298,10.8,35.3,77,5.5,59.3,22,40.7,42.4,24510,130803,0,171.28417,0.26763,10267.87,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24510130803.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24510130803.pdf,4270.48393507944,1160450.24677615
